sample,method,param,param_value,area_frac,signal_captured,speedup,efficiency,n_in,n_tot
UA1_P1,ROI,k=0.3,0.3,0.5605848227424416,0.673628982195637,1.7838513627748462,1.2016539778943198,337143,601413
UA1_P1,ROI,k=0.5,0.5,0.5120324968033614,0.63076522049123,1.953001042400704,1.2318851331294822,307943,601413
UA1_P1,ROI,k=1.0,1.0,0.4186058498901753,0.5470917327315367,2.388882048022879,1.306937618944099,251755,601413
UA1_P1,ROI,k=1.5,1.5,0.33156084088637927,0.4640635528190086,3.0160377121937767,1.3996331761567582,199405,601413
UA1_P1,Morpho,level=10,10.0,0.986955719281093,0.8972143175427603,1.0132166828400453,0.9090725146172706,593568,601413
UA1_P1,Morpho,level=25,25.0,0.976779683844546,0.8910028680505687,1.0237723168688972,0.9121840705609632,587448,601413
UA1_P1,Morpho,level=40,40.0,0.9591877794460711,0.881064785368091,1.042548728651962,0.918552971845517,576868,601413
UA1_P1,Morpho,level=60,60.0,0.8464200141998925,0.8076719676792538,1.1814465433515111,0.9542212543765678,509048,601413
UA1_P1,Morpho,level=75,75.0,0.6632846313598143,0.6720551994862852,1.507648380077612,1.0132229328282343,398908,601413
UB1_P1,ROI,k=0.3,0.3,0.5371862175402495,0.688916487830104,1.8615518554793775,1.282453766190466,413505,769761
UB1_P1,ROI,k=0.5,0.5,0.49765446677605124,0.6586810730066592,2.0094263525419302,1.3235711060201762,383075,769761
UB1_P1,ROI,k=1.0,1.0,0.3991823436105493,0.574946222809918,2.5051208201122774,1.4403097532060378,307275,769761
UB1_P1,ROI,k=1.5,1.5,0.3253802154175127,0.5138156331551492,3.073327610644202,1.5791237721563525,250465,769761
UB1_P1,Morpho,level=10,10.0,0.9885873667281143,0.8699989945187859,1.0115443851054435,0.8800425979528594,760976,769761
UB1_P1,Morpho,level=25,25.0,0.9807927395646181,0.8654957529817444,1.0195834039757554,0.8824451059516867,754976,769761
UB1_P1,Morpho,level=40,40.0,0.9565514490861449,0.8511655077850212,1.0454220742181346,0.8898272106515487,736316,769761
UB1_P1,Morpho,level=60,60.0,0.814897091434874,0.7656558830576636,1.2271488148757486,0.9395737094968566,627276,769761
UB1_P1,Morpho,level=75,75.0,0.6374134309220654,0.6500583076957882,1.5688404910976326,1.0198377946875563,490656,769761
