sample,method,param,param_value,area_frac,signal_captured,speedup_no_travel,speedup,n_regions,travel_overhead_ms,efficiency,n_in,n_tot
UA1_P1,ROI,k=0.3,0.3,0.5605848227424416,0.673628982195637,1.7838513627748462,1.7735180708855132,31,19643.42559930038,1.2016539778943198,337143,601413
UA1_P1,ROI,k=0.5,0.5,0.5120324968033614,0.63076522049123,1.953001042400704,1.9351945035351488,45,28335.13110883091,1.2318851331294822,307943,601413
UA1_P1,ROI,k=1.0,1.0,0.4186058498901753,0.5470917327315367,2.388882048022879,2.354073285546049,60,37226.0288206008,1.306937618944099,251755,601413
UA1_P1,ROI,k=1.5,1.5,0.33156084088637927,0.4640635528190086,3.0160377121937767,2.9561446271157936,65,40400.52885243128,1.3996331761567582,199405,601413
UA1_P1,Morpho,level=10,10.0,0.986955719281093,0.8972143175427603,1.0132166828400453,1.01313134035693,1,500.0,0.9090725146172706,593568,601413
UA1_P1,Morpho,level=25,25.0,0.976779683844546,0.8910028680505687,1.0237723168688972,1.0236851870134025,1,500.0,0.9121840705609632,587448,601413
UA1_P1,Morpho,level=40,40.0,0.9591877794460711,0.881064785368091,1.042548728651962,1.0423527858046748,2,1084.4040517580065,0.918552971845517,576868,601413
UA1_P1,Morpho,level=60,60.0,0.8464200141998925,0.8076719676792538,1.1814465433515111,1.1790072463431476,18,10531.905273396485,0.9542212543765678,509048,601413
UA1_P1,Morpho,level=75,75.0,0.6632846313598143,0.6720551994862852,1.507648380077612,1.5012061160910968,28,17118.70618422708,1.0132229328282343,398908,601413
